Date,Time,Temperature
2015/5/5,20,2.1
2015/5/5,21,1.9
2015/5/5,22,1.9
2015/5/5,23,1.8
2015/5/6,0,1.7
2015/5/6,1,1.9
2015/5/6,2,2.1
2015/5/6,3,2.2
2015/5/6,4,2.3
2015/5/6,5,2
2015/5/6,6,1.9
2015/5/6,7,2
2015/5/6,8,2
2015/5/6,9,3.2
2015/5/6,10,4
2015/5/6,11,5.2
2015/5/6,12,5.4
2015/5/6,13,6.7
2015/5/6,14,7.2
2015/5/6,15,7.1
2015/5/6,16,6.5
2015/5/6,17,6.3
2015/5/6,18,8.4
2015/5/6,19,6
2015/5/6,20,5.7
2015/5/6,21,5.2
2015/5/6,22,8.6
2015/5/6,23,8.9
2015/5/7,0,7.5
2015/5/7,1,6.2
2015/5/7,2,6.7
2015/5/7,3,7.1
2015/5/7,4,6
2015/5/7,5,6.1
2015/5/7,6,6.4
2015/5/7,7,5.6
2015/5/7,8,5.3
2015/5/7,9,5.9
2015/5/7,10,6.8
2015/5/7,11,7.5
2015/5/7,12,7.6
2015/5/7,13,8.3
2015/5/7,14,8.7
2015/5/7,15,9.1
2015/5/7,16,9.9
2015/5/7,17,9.4
2015/5/7,18,9.5
2015/5/7,19,8.9
2015/5/7,20,8
2015/5/7,21,7.7
2015/5/7,22,7.7
2015/5/7,23,7.5
2015/5/8,0,7.4
2015/5/8,1,6.6
2015/5/8,2,6.9
2015/5/8,3,6.9
2015/5/8,4,6.4
2015/5/8,5,6
2015/5/8,6,5.6
2015/5/8,7,4.9
2015/5/8,8,5.2
2015/5/8,9,4.4
2015/5/8,10,5.7
2015/5/8,11,6.7
2015/5/8,12,7.5
2015/5/8,13,8.9
2015/5/8,14,9.9
2015/5/8,15,10.6
2015/5/8,16,9.7
2015/5/8,17,9.9
2015/5/8,18,9.8
2015/5/8,19,8.6
2015/5/8,20,7.6
2015/5/8,22,5.8
2015/5/8,21,6
2015/5/8,23,5.2
2015/5/9,0,7.7
2015/5/9,1,8.1
2015/5/9,2,8.3
2015/5/9,3,8.3
2015/5/9,4,7.3
2015/5/9,5,7.3
2015/5/9,6,7
2015/5/9,7,7.4
2015/5/9,8,7.4
2015/5/9,9,7.5
2015/5/9,10,8.3
2015/5/9,11,8.5
2015/5/9,12,9.2
2015/5/9,13,10.2
2015/5/9,14,10.8
2015/5/9,15,10.7
2015/5/9,16,10.4
2015/5/9,17,11
2015/5/9,18,10.6
2015/5/9,19,9.5
2015/5/9,20,9.5
2015/5/9,21,8.9
2015/5/9,22,8.7
2015/5/9,23,9.1
2015/5/10,0,9.6
2015/5/10,1,9.4
2015/5/10,2,8.5
2015/5/10,3,7.7
2015/5/10,4,8
2015/5/10,5,7.7
2015/5/10,6,7.6
2015/5/10,7,9.1
2015/5/10,8,7.8
2015/5/10,9,7.7
2015/5/10,10,7.7
2015/5/10,11,8.7
2015/5/10,12,10.4
2015/5/10,13,11.1
2015/5/10,14,12.1
2015/5/10,15,12.8
2015/5/10,16,12.8
2015/5/10,17,12.9
2015/5/10,18,12.6
2015/5/10,19,11.9
2015/5/10,20,10.2
2015/5/10,21,8
2015/5/10,22,5.7
2015/5/10,23,4.4
2015/5/11,0,3.6
2015/5/11,1,4.4
2015/5/11,2,5.2
2015/5/11,3,4.9
2015/5/11,4,4
2015/5/11,5,3.7
2015/5/11,6,3.7
2015/5/11,7,3
2015/5/11,8,3.6
2015/5/11,9,5.5
2015/5/11,10,6.9
2015/5/11,11,7.5
2015/5/11,12,8.7
2015/5/11,13,8.8
2015/5/11,14,9.1
2015/5/11,15,9.2
2015/5/11,16,11.4
2015/5/11,17,10.5
2015/5/11,18,10.1
2015/5/11,19,8.8
2015/5/11,20,7.5
2015/5/11,21,6.2
2015/5/11,22,4.5
2015/5/11,23,4.2
2015/5/12,0,3.7
2015/5/12,1,3.3
2015/5/12,2,3.1
2015/5/12,3,3
2015/5/12,4,3.1
2015/5/12,5,3
2015/5/12,6,3
2015/5/12,7,2.8
2015/5/12,8,2.8
2015/5/12,9,3.2
2015/5/12,10,4.6
2015/5/12,11,4.6
2015/5/12,12,5.7
2015/5/12,13,6.4
2015/5/12,14,5
2015/5/12,15,5.6
2015/5/12,16,3.8
2015/5/12,17,5.2
2015/5/12,18,3.7
2015/5/12,19,3.7
2015/5/12,20,4.2
2015/5/12,21,2.9
2015/5/12,22,3
2015/5/12,23,3
2015/5/13,0,2.5
2015/5/13,1,2.2
2015/5/13,2,1.6
2015/5/13,3,1.5
2015/5/13,4,1.3
2015/5/13,5,1.6
2015/5/13,6,2
2015/5/13,7,2.8
2015/5/13,8,3
2015/5/13,9,2.9
2015/5/13,10,3.2
2015/5/13,11,3.2
2015/5/13,12,3.4
2015/5/13,13,4
2015/5/13,14,3.8
2015/5/13,15,4.9
2015/5/13,17,4.1
2015/5/13,16,3.8
2015/5/13,18,5
2015/5/13,19,5.4
2015/5/13,20,3.8
2015/5/13,21,2.3
2015/5/13,22,1.6
2015/5/13,23,1.7
2015/5/14,0,1.9
2015/5/14,1,1.6
2015/5/14,2,1.6
2015/5/14,3,1.7
2015/5/14,4,1.7
2015/5/14,5,1.4
2015/5/14,6,0.4
2015/5/14,7,0.4
2015/5/14,8,0.3
2015/5/14,9,0.3
2015/5/14,10,0.3
2015/5/14,11,0.5
2015/5/14,12,0.9
2015/5/14,13,1.2
2015/5/14,14,1.6
2015/5/14,15,2.6
2015/5/14,16,3.3
2015/5/14,17,6.2
2015/5/14,18,5.4
2015/5/14,19,5.9
2015/5/14,20,6.6
2015/5/14,21,6.7
2015/5/14,22,7.1
2015/5/14,23,4.8
2015/5/15,0,5.3
2015/5/15,1,4.8
2015/5/15,2,4.6
2015/5/15,3,4.9
2015/5/15,4,4.9
2015/5/15,5,6.4
2015/5/15,6,4.2
2015/5/15,7,3.3
2015/5/15,8,3.8
2015/5/15,10,4.5
2015/5/15,9,4.1
2015/5/15,11,4.9
2015/5/15,12,4.6
2015/5/15,13,6.6
2015/5/15,14,6
2015/5/15,15,6
2015/5/15,16,4.9
2015/5/15,17,6.6
2015/5/15,18,7
2015/5/15,19,5.9
2015/5/15,20,5.1
2015/5/15,21,4.4
2015/5/15,22,3.7
2015/5/15,23,3.4
2015/5/16,0,4
2015/5/16,1,5.1
2015/5/16,2,5.1
2015/5/16,3,4.9
2015/5/16,4,4.7
2015/5/16,5,4.6
2015/5/16,6,4.6
2015/5/16,7,4.3
2015/5/16,8,4.3
2015/5/16,9,4.3
2015/5/16,11,4.6
2015/5/16,10,4.7
2015/5/16,12,5.4
2015/5/16,13,5.9
2015/5/16,14,6.1
2015/5/16,15,7
2015/5/16,16,7.9
2015/5/16,17,6.6
2015/5/16,18,6.6
2015/5/16,19,6.4
2015/5/16,20,6.1
2015/5/16,21,5.9
2015/5/16,22,5.6
2015/5/16,23,5.1
2015/5/17,0,4.4
2015/5/17,1,3
2015/5/17,2,1.6
2015/5/17,3,0.7
2015/5/17,4,0.6
2015/5/17,5,-0.1
2015/5/17,6,-0.4
2015/5/17,7,0.1
2015/5/17,8,0.2
2015/5/17,9,2
2015/5/17,10,4.9
2015/5/17,11,6.1
2015/5/17,12,7.3
2015/5/17,13,8.7
2015/5/17,14,9.8
2015/5/17,15,10.1
2015/5/17,16,10.2
2015/5/17,17,11.1
2015/5/17,18,11.1
2015/5/17,19,10.9
2015/5/17,20,7.5
2015/5/17,21,5
2015/5/17,22,2.9
2015/5/17,23,2.8
2015/5/18,0,2.3
2015/5/18,1,1.6
2015/5/18,2,1
2015/5/18,4,0.7
2015/5/18,5,0.7
2015/5/18,6,-0.2
2015/5/18,7,0.2
2015/5/18,3,0.2
2015/5/18,8,1
2015/5/18,9,2.7
2015/5/18,10,5.3
2015/5/18,11,7.1
2015/5/18,12,7.7
2015/5/18,13,8.9
2015/5/18,14,9.8
2015/5/18,15,10.7
2015/5/18,16,11.3
2015/5/18,17,10.9
2015/5/18,18,9.4
2015/5/18,19,9.3
2015/5/18,20,8.8
2015/5/18,21,8.3
2015/5/18,22,6.9
2015/5/18,23,5.2
2015/5/19,0,3.8
2015/5/19,1,3.3
2015/5/19,2,2.6
2015/5/19,3,2
2015/5/19,4,2
2015/5/19,5,2
2015/5/19,6,2.5
2015/5/19,7,2.3
2015/5/19,8,3.1
2015/5/19,9,5.1
2015/5/19,10,6.8
2015/5/19,11,7.9
2015/5/19,12,9
2015/5/19,13,10.3
2015/5/19,14,11.1
2015/5/19,15,12.2
2015/5/19,16,12.5
2015/5/19,17,13.7
2015/5/19,18,14.4
2015/5/19,19,14
2015/5/19,20,11.3
2015/5/19,21,7
2015/5/19,22,5.7
2015/5/19,23,5.3
2015/5/20,0,4.9
2015/5/20,1,4.1
2015/5/20,2,3.6
2015/5/20,3,3.3
2015/5/20,4,2.8
2015/5/20,5,3
2015/5/20,6,2.7
2015/5/20,7,1.9
2015/5/20,8,2.5
2015/5/20,9,5.4
2015/5/20,10,8
2015/5/20,11,9.4
2015/5/20,12,10.5
2015/5/20,13,12.2
2015/5/20,14,13.2
2015/5/20,15,14.5
2015/5/20,16,15.5
2015/5/20,17,15.5
2015/5/20,18,15.4
2015/5/20,19,16.1
2015/5/20,20,12.9
2015/5/20,21,9.2
2015/5/20,22,7.9
2015/5/20,23,7.3
2015/5/21,0,5.7
2015/5/21,1,4.6
2015/5/21,2,5
2015/5/21,3,4.4
2015/5/21,4,3.7
2015/5/21,5,2.9
2015/5/21,6,2.8
2015/5/21,7,2.8
2015/5/21,8,2.7
2015/5/21,9,5.7
2015/5/21,10,8.5
2015/5/21,11,9.9
2015/5/21,12,9
2015/5/21,13,8
2015/5/21,14,7.2
2015/5/21,15,7.7
2015/5/21,16,8.4
2015/5/21,17,8.1
2015/5/21,18,8.2
2015/5/21,19,9.5
2015/5/21,20,8.4
2015/5/21,21,7.6
2015/5/21,22,6.5
2015/5/21,23,5.4
2015/5/22,0,5.1
2015/5/22,1,3.8
2015/5/22,2,3
2015/5/22,3,2.8
2015/5/22,4,4
2015/5/22,5,4.3
2015/5/22,6,5.2
2015/5/22,7,5.3
2015/5/22,8,6
2015/5/22,9,6.5
2015/5/22,10,7.4
2015/5/22,11,8.4
2015/5/22,12,8.7
2015/5/22,13,9.3
2015/5/22,14,10.5
2015/5/22,15,10.9
2015/5/22,16,11.1
2015/5/22,17,10
2015/5/22,18,8.2
2015/5/22,19,7.3
2015/5/22,20,7.7
2015/5/22,21,7.7
2015/5/22,22,8.1
2015/5/22,23,9
2015/5/23,0,8.9
2015/5/23,1,8.4
2015/5/23,2,8.3
2015/5/23,3,8
2015/5/23,4,7.6
2015/5/23,5,7.3
2015/5/23,6,6.9
2015/5/23,7,6.7
2015/5/23,8,6.5
2015/5/23,9,6.6
2015/5/23,10,6.9
2015/5/23,11,7.6
2015/5/23,12,8.3
2015/5/23,13,7.5
2015/5/23,14,6.1
2015/5/23,15,7.1
2015/5/23,16,6.7
2015/5/23,17,5.3
2015/5/23,18,5.9
2015/5/23,19,6.2
2015/5/23,20,5.9
2015/5/23,21,5.3
2015/5/23,22,4.6
2015/5/23,23,3.6
2015/5/24,0,3
2015/5/24,1,3
2015/5/24,2,2.2
2015/5/24,3,1.7
2015/5/24,4,1.4
2015/5/24,5,1.9
2015/5/24,6,1.6
2015/5/24,7,1.4
2015/5/24,8,2.1
2015/5/24,9,3.1
2015/5/24,10,3.4
2015/5/24,11,3.9
2015/5/24,12,5.4
2015/5/24,13,5.2
2015/5/24,14,5.6
2015/5/24,15,5.8
2015/5/24,16,5.8
2015/5/24,17,5.3
2015/5/24,18,4
2015/5/24,19,3
2015/5/24,20,2.1
2015/5/24,21,1.7
2015/5/24,22,1.4
2015/5/24,23,1.2
2015/5/25,0,0.8
2015/5/25,1,0.6
2015/5/25,2,0.4
2015/5/25,3,0.5
2015/5/25,4,0.5
2015/5/25,5,0.5
2015/5/25,6,0.8
2015/5/25,7,0.7
2015/5/25,8,0.7
2015/5/25,9,0.7
2015/5/25,10,1
2015/5/25,12,2.6
2015/5/25,13,2.9
2015/5/25,11,2
2015/5/25,14,2.9
2015/5/25,15,3.3
2015/5/25,16,3.9
2015/5/25,17,4.2
2015/5/25,18,4.3
2015/5/25,19,4.7
2015/5/25,20,4.8
2015/5/25,21,5.2
2015/5/25,22,4.3
2015/5/25,23,4
2015/5/26,0,4
2015/5/26,1,4.7
2015/5/26,2,5.1
2015/5/26,3,4.6
2015/5/26,4,4.8
2015/5/26,5,4.7
2015/5/26,6,4.5
2015/5/26,7,3.8
2015/5/26,8,3
2015/5/26,9,3.4
2015/5/26,10,4.8
2015/5/26,11,6.3
2015/5/26,12,7.2
2015/5/26,13,6.3
2015/5/26,14,5.1
2015/5/26,15,7.2
2015/5/26,16,6.5
2015/5/26,17,5.6
2015/5/26,18,7
2015/5/26,19,7.4
2015/5/26,20,6.3
2015/5/26,21,5.9
2015/5/26,22,5.3
2015/5/26,23,4.5
2015/5/27,0,4.1
2015/5/27,1,4.1
2015/5/27,2,4.5
2015/5/27,3,4.7
2015/5/27,4,3.9
2015/5/27,5,2.6
2015/5/27,6,1.5
2015/5/27,7,0.8
2015/5/27,8,1.9
2015/5/27,9,4.5
2015/5/27,10,6.5
2015/5/27,11,7.6
2015/5/27,12,8
2015/5/27,13,9.1
2015/5/27,14,9.3
2015/5/27,15,9.3
2015/5/27,16,9
2015/5/27,17,9.8
2015/5/27,18,10
2015/5/27,19,9.5
2015/5/27,20,7.5
2015/5/27,21,4.2
2015/5/27,22,2.6
2015/5/27,23,2.7
2015/5/28,0,1.4
2015/5/28,1,0.7
2015/5/28,2,0.6
2015/5/28,3,-0.1
2015/5/28,4,-0.1
2015/5/28,5,-0.7
2015/5/28,6,-0.2
2015/5/28,7,0.4
2015/5/28,8,1.5
2015/5/28,9,4.3
2015/5/28,10,6
2015/5/28,11,7.2
2015/5/28,12,8.2
2015/5/28,13,8.6
2015/5/28,14,8.3
2015/5/28,15,10
2015/5/28,16,10.5
2015/5/28,17,10.8
2015/5/28,18,10.8
2015/5/28,19,10.7
2015/5/28,20,7.9
2015/5/28,21,4.4
2015/5/28,22,1.9
2015/5/28,23,1.4
2015/5/29,0,1.4
2015/5/29,1,0.8
2015/5/29,2,1.1
2015/5/29,3,2
2015/5/29,4,2.2
2015/5/29,5,1.5
2015/5/29,6,1.7
2015/5/29,7,2.1
2015/5/29,8,4.3
2015/5/29,9,4.6
2015/5/29,10,4.2
2015/5/29,11,5.2
2015/5/29,12,5.2
2015/5/29,13,6
2015/5/29,14,6.7
2015/5/29,15,8.5
2015/5/29,16,8.1
2015/5/29,17,8.8
2015/5/29,18,10.3
2015/5/29,19,9.2
2015/5/29,20,7.2
2015/5/29,21,5.7
2015/5/29,22,2.4
2015/5/29,23,0.9
2015/5/30,0,0.4
2015/5/30,1,0.3
2015/5/30,2,0.1
2015/5/30,3,0.2
2015/5/30,4,0.7
2015/5/30,5,1.9
2015/5/30,6,2.6
2015/5/30,7,3.2
2015/5/30,8,2.7
2015/5/30,9,2.6
2015/5/30,10,2.9
2015/5/30,11,4
2015/5/30,12,5.1
2015/5/30,13,5.8
2015/5/30,14,6.3
2015/5/30,15,6.8
2015/5/30,16,8.7
2015/5/30,17,9.1
2015/5/30,18,7.4
2015/5/30,19,7.3
2015/5/30,20,7
2015/5/30,21,6.1
2015/5/30,22,5.6
2015/5/30,23,4.5
